model,window,run,tipo,partitions
sbm,10,001,0,526
sbm,10,001,1,712
sbm,10,001,5,587
sbm,10,002,0,409
sbm,10,002,1,510
sbm,10,002,5,397
sbm,10,003,0,481
sbm,10,003,1,617
sbm,10,003,5,503
sbm,10,004,0,463
sbm,10,004,1,603
sbm,10,004,5,485
sbm,10,005,0,382
sbm,10,005,1,489
sbm,10,005,5,387
sbm,15,001,0,609
sbm,15,001,1,861
sbm,15,001,5,751
sbm,15,002,0,570
sbm,15,002,1,783
sbm,15,002,5,679
sbm,15,003,0,545
sbm,15,003,1,735
sbm,15,003,5,628
sbm,15,004,0,559
sbm,15,004,1,761
sbm,15,004,5,663
sbm,15,005,0,568
sbm,15,005,1,773
sbm,15,005,5,673
sbm,20,001,0,616
sbm,20,001,1,859
sbm,20,001,5,766
sbm,20,002,0,627
sbm,20,002,1,906
sbm,20,002,5,804
sbm,20,003,0,656
sbm,20,003,1,937
sbm,20,003,5,828
sbm,20,004,0,687
sbm,20,004,1,1000
sbm,20,004,5,897
sbm,20,005,0,694
sbm,20,005,1,995
sbm,20,005,5,882
sbm,25,001,0,709
sbm,25,001,1,1033
sbm,25,001,5,927
sbm,25,002,0,705
sbm,25,002,1,1000
sbm,25,002,5,900
sbm,25,003,0,648
sbm,25,003,1,932
sbm,25,003,5,823
sbm,25,004,0,650
sbm,25,004,1,921
sbm,25,004,5,816
sbm,25,005,0,656
sbm,25,005,1,927
sbm,25,005,5,819
sbm,30,001,0,713
sbm,30,001,1,1017
sbm,30,001,5,916
sbm,30,002,0,679
sbm,30,002,1,951
sbm,30,002,5,844
sbm,30,003,0,670
sbm,30,003,1,931
sbm,30,003,5,828
sbm,30,004,0,699
sbm,30,004,1,979
sbm,30,004,5,897
sbm,30,005,0,720
sbm,30,005,1,1015
sbm,30,005,5,926
sbm,35,001,0,737
sbm,35,001,1,1045
sbm,35,001,5,936
sbm,35,002,0,674
sbm,35,002,1,935
sbm,35,002,5,836
sbm,35,003,0,751
sbm,35,003,1,1078
sbm,35,003,5,952
sbm,35,004,0,693
sbm,35,004,1,963
sbm,35,004,5,855
sbm,35,005,0,739
sbm,35,005,1,1024
sbm,35,005,5,930
sbm,40,001,0,791
sbm,40,001,1,1144
sbm,40,001,5,963
sbm,40,002,0,720
sbm,40,002,1,1014
sbm,40,002,5,870
sbm,40,003,0,685
sbm,40,003,1,956
sbm,40,003,5,846
sbm,40,004,0,717
sbm,40,004,1,1028
sbm,40,004,5,904
sbm,40,005,0,743
sbm,40,005,1,1065
sbm,40,005,5,925
sbm,45,001,0,756
sbm,45,001,1,1092
sbm,45,001,5,913
sbm,45,002,0,747
sbm,45,002,1,1063
sbm,45,002,5,928
sbm,45,003,0,754
sbm,45,003,1,1101
sbm,45,003,5,920
sbm,45,004,0,760
sbm,45,004,1,1120
sbm,45,004,5,939
sbm,45,005,0,765
sbm,45,005,1,1105
sbm,45,005,5,933
sbm,5,001,0,21
sbm,5,001,1,21
sbm,5,001,5,19
sbm,5,002,0,17
sbm,5,002,1,18
sbm,5,002,5,14
sbm,5,003,0,66
sbm,5,003,1,70
sbm,5,003,5,58
sbm,5,004,0,17
sbm,5,004,1,18
sbm,5,004,5,13
sbm,5,005,0,19
sbm,5,005,1,21
sbm,5,005,5,17
sbm,50,001,0,722
sbm,50,001,1,1032
sbm,50,001,5,861
sbm,50,002,0,713
sbm,50,002,1,994
sbm,50,002,5,840
sbm,50,003,0,719
sbm,50,003,1,1010
sbm,50,003,5,841
sbm,50,004,0,633
sbm,50,004,1,849
sbm,50,004,5,744
sbm,50,005,0,718
sbm,50,005,1,1028
sbm,50,005,5,866
sbm,full,001,0,12
sbm,full,001,1,19
sbm,full,001,5,16
sbm,full,002,0,7
sbm,full,002,1,10
sbm,full,002,5,10
sbm,full,003,0,11
sbm,full,003,1,16
sbm,full,003,5,15
sbm,full,004,0,7
sbm,full,004,1,10
sbm,full,004,5,8
sbm,full,005,0,13
sbm,full,005,1,19
sbm,full,005,5,18
w2v,10,001,1,712
w2v,10,002,1,510
w2v,10,003,1,617
w2v,10,004,1,603
w2v,10,005,1,489
w2v,15,001,1,861
w2v,15,002,1,783
w2v,15,003,1,735
w2v,15,004,1,761
w2v,15,005,1,773
w2v,20,001,1,859
w2v,20,002,1,906
w2v,20,003,1,937
w2v,20,004,1,1000
w2v,20,005,1,995
w2v,25,001,1,1033
w2v,25,002,1,1000
w2v,25,003,1,932
w2v,25,004,1,921
w2v,25,005,1,927
w2v,30,001,1,1017
w2v,30,002,1,951
w2v,30,003,1,931
w2v,30,004,1,979
w2v,30,005,1,1015
w2v,35,001,1,1045
w2v,35,002,1,935
w2v,35,003,1,1078
w2v,35,004,1,963
w2v,35,005,1,1024
w2v,40,001,1,1144
w2v,40,002,1,1014
w2v,40,003,1,956
w2v,40,004,1,1028
w2v,40,005,1,1065
w2v,45,001,1,1092
w2v,45,002,1,1063
w2v,45,003,1,1101
w2v,45,004,1,1120
w2v,45,005,1,1105
w2v,5,001,1,21
w2v,5,002,1,18
w2v,5,003,1,70
w2v,5,004,1,18
w2v,5,005,1,21
w2v,50,001,1,1032
w2v,50,002,1,994
w2v,50,003,1,1010
w2v,50,004,1,849
w2v,50,005,1,1028
w2v,full,001,1,19
w2v,full,002,1,10
w2v,full,003,1,16
w2v,full,004,1,10
w2v,full,005,1,19
