model,window,run,partitions
sbm,10,001,12
sbm,10,002,11
sbm,10,003,15
sbm,10,004,8
sbm,10,005,15
sbm,10,006,14
sbm,10,007,14
sbm,10,008,8
sbm,10,009,11
sbm,10,010,9
sbm,20,001,4
sbm,20,002,10
sbm,20,003,7
sbm,20,004,7
sbm,20,005,8
sbm,20,006,9
sbm,20,007,12
sbm,20,008,7
sbm,20,009,15
sbm,20,010,11
sbm,40,001,13
sbm,40,002,12
sbm,40,003,10
sbm,40,004,10
sbm,40,005,8
sbm,40,006,8
sbm,40,007,7
sbm,40,008,7
sbm,40,009,5
sbm,40,010,8
sbm,5,001,11
sbm,5,002,3
sbm,5,003,10
sbm,5,004,10
sbm,5,005,9
sbm,5,006,9
sbm,5,007,3
sbm,5,008,3
sbm,5,009,3
sbm,5,010,3
sbm,full,001,12
sbm,full,002,12
sbm,full,003,28
sbm,full,004,19
sbm,full,005,9
sbm,full,006,9
sbm,full,007,41
sbm,full,008,14
sbm,full,009,7
sbm,full,010,10
w2v,10,001,12
w2v,10,002,11
w2v,10,003,15
w2v,10,004,8
w2v,10,005,15
w2v,10,006,14
w2v,10,007,14
w2v,10,008,8
w2v,10,009,11
w2v,10,010,9
w2v,20,001,4
w2v,20,002,10
w2v,20,003,7
w2v,20,004,7
w2v,20,005,8
w2v,20,006,9
w2v,20,007,12
w2v,20,008,7
w2v,20,009,15
w2v,20,010,11
w2v,40,001,13
w2v,40,002,12
w2v,40,003,10
w2v,40,004,10
w2v,40,005,8
w2v,40,006,8
w2v,40,007,7
w2v,40,008,7
w2v,40,009,5
w2v,40,010,8
w2v,5,001,11
w2v,5,002,3
w2v,5,003,10
w2v,5,004,10
w2v,5,005,9
w2v,5,006,9
w2v,5,007,3
w2v,5,008,3
w2v,5,009,3
w2v,5,010,3
w2v,full,001,12
w2v,full,002,12
w2v,full,003,28
w2v,full,004,19
w2v,full,005,9
w2v,full,006,9
w2v,full,007,41
w2v,full,008,14
w2v,full,009,7
w2v,full,010,10
